,word1,word2,bigram,freq.w1,freq.w2,freq.bi,human.eval
873,목적NNG을JKO,가지VV,목적NNG을JKO 가지VV,12,568,3,FALSE
875,접대NNG을JKO,하VV,접대NNG을JKO 하VV,2,7312,2,TRUE
894,땅NNG을JKO,살아가VV,땅NNG을JKO 살아가VV,15,2,2,FALSE
899,마스크NNG을JKO,쓰VV,마스크NNG을JKO 쓰VV,5,509,3,TRUE
935,복NNG을JKO,누리VV,복NNG을JKO 누리VV,3,9,3,FALSE
940,자리NNG을JKO,잡VV,자리NNG을JKO 잡VV,37,112,6,TRUE
941,손NNG을JKO,잡VV,손NNG을JKO 잡VV,46,112,11,TRUE
962,복음NNG을JKO,들VV,복음NNG을JKO 들VV,13,475,2,FALSE
965,삶NNG을JKO,살VV,삶NNG을JKO 살VV,29,24,17,FALSE
968,담당NNG을JKO,하VV,담당NNG을JKO 하VV,4,7312,4,TRUE
969,시간NNG을JKO,갖VV,시간NNG을JKO 갖VV,89,306,9,FALSE
976,인사NNG을JKO,하VV,인사NNG을JKO 하VV,35,7312,25,TRUE
985,순NNG을JKO,통하VV,순NNG을JKO 통하VV,5,243,3,FALSE
994,사람NNG을JKO,만나VV,사람NNG을JKO 만나VV,98,108,19,FALSE
997,제자NNG을JKO,양육NNG하XSV,제자NNG을JKO 양육NNG하XSV,2,2,2,FALSE
999,삶NNG을JKO,나누VV,삶NNG을JKO 나누VV,29,86,2,FALSE
1006,말씀NNG을JKO,통하VV,말씀NNG을JKO 통하VV,139,243,5,FALSE
1010,모임NNG을JKO,하VV,모임NNG을JKO 하VV,9,7312,3,TRUE
1029,경험NNG을JKO,하VV,경험NNG을JKO 하VV,21,7312,10,TRUE
1033,꿈NNG을JKO,갖VV,꿈NNG을JKO 갖VV,21,306,2,FALSE
1036,믿음NNG을JKO,가지VV,믿음NNG을JKO 가지VV,10,568,2,FALSE
1049,체계NNG을JKO,갖VV,체계NNG을JKO 갖VV,14,306,2,FALSE
1059,출산NNG을JKO,하VV,출산NNG을JKO 하VV,2,7312,2,TRUE
1063,수고NNG을JKO,하VV,수고NNG을JKO 하VV,4,7312,3,TRUE
1068,소리NNG을JKO,듣VV,소리NNG을JKO 듣VV,64,268,15,FALSE
1087,도움NNG을JKO,받VV,도움NNG을JKO 받VV,30,426,8,TRUE
1091,책자NNG을JKO,보VV,책자NNG을JKO 보VV,4,1238,3,FALSE
1092,반NNG을JKO,가VV,반NNG을JKO 가VV,20,336,6,FALSE
1093,과정NNG을JKO,통하VV,과정NNG을JKO 통하VV,28,243,5,FALSE
1109,생활NNG을JKO,하VV,생활NNG을JKO 하VV,56,7312,42,TRUE
1112,작정NNG을JKO,하VV,작정NNG을JKO 하VV,3,7312,3,TRUE
1114,여행NNG을JKO,다니VV,여행NNG을JKO 다니VV,43,49,4,FALSE
1115,소개NNG을JKO,하VV,소개NNG을JKO 하VV,28,7312,18,TRUE
1119,일주NNG을JKO,하VV,일주NNG을JKO 하VV,2,7312,2,TRUE
1120,여행NNG을JKO,가VV,여행NNG을JKO 가VV,43,336,29,FALSE
1121,학원NNG을JKO,다니VV,학원NNG을JKO 다니VV,12,49,9,FALSE
1125,비행기NNG을JKO,타VV,비행기NNG을JKO 타VV,9,120,4,FALSE
1131,돈NNG을JKO,갖VV,돈NNG을JKO 갖VV,107,306,5,FALSE
1132,돈NNG을JKO,주VV,돈NNG을JKO 주VV,107,324,14,FALSE
1136,짐NNG을JKO,들VV,짐NNG을JKO 들VV,12,475,3,FALSE
1137,결혼NNG을JKO,생각NNG하XSV,결혼NNG을JKO 생각NNG하XSV,48,101,2,FALSE
1141,남자NNG을JKO,만나VV,남자NNG을JKO 만나VV,26,108,4,FALSE
1144,학교NNG을JKO,다니VV,학교NNG을JKO 다니VV,47,49,13,FALSE
1145,데이트NNG을JKO,하VV,데이트NNG을JKO 하VV,4,7312,4,TRUE
1149,반대NNG을JKO,하VV,반대NNG을JKO 하VV,17,7312,15,TRUE
